File_Name,Start_Time,End_Time,Duration_Seconds,Duration_Minutes,Duration_Hours
63901_NT_AL_AA,"2025-09-01 12:45:30,605","2025-09-01 13:29:14,453",2623.85,43.73,0.73
51252_NT_AL_AA,"2025-09-01 12:45:30,529","2025-09-01 13:26:31,212",2460.68,41.01,0.68
84689_NT_AL_AA,"2025-09-01 12:48:00,572","2025-09-01 15:33:01,920",9901.35,165.02,2.75
54102_NT_AL_AA,"2025-09-01 12:45:30,568","2025-09-01 13:24:16,465",2325.90,38.76,0.65
83987_NT_AL_AA,"2025-09-01 12:47:21,854","2025-09-01 16:00:04,033",11562.18,192.70,3.21
100130274_NT_AL_AA,"2025-09-01 12:39:22,771","2025-09-01 13:17:52,300",2309.53,38.49,0.64
7984_NT_AL_AA,"2025-09-01 12:46:59,631","2025-09-01 15:00:12,954",7993.32,133.22,2.22
4851_NT_AL_AA,"2025-09-01 12:45:30,541","2025-09-01 13:34:42,039",2951.50,49.19,0.82
11095_NT_AL_AA,"2025-09-01 12:40:10,029","2025-09-01 13:21:14,240",2464.21,41.07,0.68
57188_NT_AL_AA,"2025-09-01 12:45:30,526","2025-09-01 13:31:59,289",2788.76,46.48,0.77
1539_NT_AL_AA,"2025-09-01 12:42:13,955","2025-09-01 15:15:06,103",9172.15,152.87,2.55
84033_NT_AL_AA,"2025-09-01 12:47:23,492","2025-09-01 15:47:58,112",10834.62,180.58,3.01
148870_NT_AL_AA,"2025-09-01 12:41:17,248","2025-09-01 13:10:54,398",1777.15,29.62,0.49
1609_NT_AL_AA,"2025-09-01 12:42:17,418","2025-09-01 15:46:03,401",11025.98,183.77,3.06
57597_NT_AL_AA,"2025-09-01 12:45:30,559","2025-09-01 13:34:48,195",2957.64,49.29,0.82
168090_NT_AL_AA,"2025-09-01 12:42:29,123","2025-09-01 13:19:31,470",2222.35,37.04,0.62
128061_NT_AL_AA,"2025-09-01 12:40:59,193","2025-09-01 15:08:08,672",8829.48,147.16,2.45
64434_NT_AL_AA,"2025-09-01 12:45:30,558","2025-09-01 13:44:59,128",3568.57,59.48,0.99
79925_NT_AL_AA,"2025-09-01 12:47:09,119","2025-09-01 15:12:21,814",8712.69,145.21,2.42
11173_NT_AL_AA,"2025-09-01 12:40:58,593","2025-09-01 15:03:00,299",8521.71,142.03,2.37
84074_NT_AL_AA,"2025-09-01 12:47:31,579","2025-09-01 14:51:21,237",7429.66,123.83,2.06
100131017_NT_AL_AA,"2025-09-01 12:39:53,960","2025-09-01 13:19:01,780",2347.82,39.13,0.65
26153_NT_AL_AA,"2025-09-01 12:43:25,059","2025-09-01 15:36:10,491",10365.43,172.76,2.88
84886_NT_AL_AA,"2025-09-01 12:48:19,738","2025-09-01 15:29:08,438",9648.70,160.81,2.68
256815_NT_AL_AA,"2025-09-01 12:43:20,415","2025-09-01 13:19:53,017",2192.60,36.54,0.61
65250_NT_AL_AA,"2025-09-01 12:46:13,982","2025-09-01 15:40:32,194",10458.21,174.30,2.91
374654_NT_AL_AA,"2025-09-01 12:44:58,374","2025-09-01 13:37:55,510",3177.14,52.95,0.88
1816_NT_AL_AA,"2025-09-01 12:42:59,238","2025-09-01 15:16:44,581",9225.34,153.76,2.56
3454_NT_AL_AA,"2025-09-01 12:44:17,587","2025-09-01 15:25:07,858",9650.27,160.84,2.68
3603_NT_AL_AA,"2025-09-01 12:44:18,916","2025-09-01 13:29:14,444",2695.53,44.93,0.75
26505_NT_AL_AA,"2025-09-01 12:43:25,057","2025-09-01 15:30:54,976",10049.92,167.50,2.79
121006_NT_AL_AA,"2025-09-01 12:40:59,138","2025-09-01 15:33:01,921",10322.78,172.05,2.87
139378_NT_AL_AA,"2025-09-01 12:41:13,995","2025-09-01 14:44:03,541",7369.55,122.83,2.05
399693_NT_AL_AA,"2025-09-01 12:45:21,100","2025-09-01 15:28:56,094",9814.99,163.58,2.73
319089_NT_AL_AA,"2025-09-01 12:43:55,193","2025-09-01 14:22:39,703",5924.51,98.74,1.65
164592_NT_AL_AA,"2025-09-01 12:42:17,412","2025-09-01 14:58:00,848",8143.44,135.72,2.26
283643_NT_AL_AA,"2025-09-01 12:43:32,352","2025-09-01 15:04:32,506",8460.15,141.00,2.35
151649_NT_AL_AA,"2025-09-01 12:41:54,493","2025-09-01 13:21:12,310",2357.82,39.30,0.65
342125_NT_AL_AA,"2025-09-01 12:43:55,862","2025-09-01 15:05:34,494",8498.63,141.64,2.36
91752_NT_AL_AA,"2025-09-01 13:18:07,899","2025-09-01 13:58:20,835",2412.94,40.22,0.67
22994_NT_AL_AA,"2025-09-01 12:42:59,247","2025-09-01 13:25:14,740",2535.49,42.26,0.70
2523_NT_AL_AA,"2025-09-01 12:43:24,046","2025-09-01 15:08:59,018",8734.97,145.58,2.43
100129271_NT_AL_AA,"2025-09-01 12:39:23,040","2025-09-01 14:39:05,745",7182.70,119.71,2.00
7148_NT_AL_AA,"2025-09-01 12:46:35,061","2025-09-01 15:21:47,725",9312.66,155.21,2.59
64759_NT_AL_AA,"2025-09-01 12:46:01,339","2025-09-01 15:40:32,211",10470.87,174.51,2.91
238_NT_AL_AA,"2025-09-01 12:43:00,230","2025-09-01 15:45:27,814",10947.58,182.46,3.04
3665_NT_AL_AA,"2025-09-01 12:44:56,972","2025-09-01 15:26:19,916",9682.94,161.38,2.69
90381_NT_AL_AA,"2025-09-01 13:11:19,259","2025-09-01 13:49:03,422",2264.16,37.74,0.63
2515_NT_AL_AA,"2025-09-01 12:43:00,283","2025-09-01 14:53:57,278",7856.99,130.95,2.18
